plant_code,fuel_type,quantity,unit,transaction_date
PLANT_101,Diesel,500,L,2026-05-01
PLANT_101,Petrol,200,L,2026-05-02
PLANT_205,Natural Gas,1000,m3,2026-05-03
PLANT_310,Diesel,750,L,2026-05-04
PLANT_401,Petrol,300,L,2026-05-05
PLANT_502,Natural Gas,1500,m3,2026-05-06
PLANT_601,Diesel,950,L,2026-05-07
PLANT_701,Petrol,450,L,2026-05-08
PLANT_801,Natural Gas,1800,m3,2026-05-09
PLANT_901,Diesel,600,L,2026-05-10
PLANT_1001,Petrol,350,L,2026-05-11
PLANT_1101,Natural Gas,2100,m3,2026-05-12
PLANT_1201,Diesel,720,L,2026-05-13
PLANT_1301,Petrol,410,L,2026-05-14
PLANT_1401,Natural Gas,1750,m3,2026-05-15
PLANT_1501,Diesel,890,L,2026-05-16
PLANT_1601,Petrol,280,L,2026-05-17
PLANT_1701,Natural Gas,1950,m3,2026-05-18
PLANT_1801,Diesel,640,L,2026-05-19
PLANT_1901,Petrol,520,L,2026-05-20
PLANT_2001,Natural Gas,2300,m3,2026-05-21
PLANT_2101,Diesel,780,L,2026-05-22
PLANT_2201,Petrol,330,L,2026-05-23
PLANT_2301,Natural Gas,1650,m3,2026-05-24
PLANT_2401,Diesel,910,L,2026-05-25
PLANT_2501,Petrol,470,L,2026-05-26
PLANT_2601,Natural Gas,2500,m3,2026-05-27
PLANT_2701,Diesel,830,L,2026-05-28
PLANT_2801,Petrol,390,L,2026-05-29
PLANT_2901,Natural Gas,1850,m3,2026-05-30
